streams,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
226897599,125,69,70,89,4,0,49,3
258316038,122,80,62,69,28,0,13,7
596152090,92,85,92,54,16,0,29,7
177129919,90,63,75,75,17,0,11,8
716591492,94,84,90,70,9,0,14,8
1210599487,93,81,53,78,18,0,6,24
246376690,130,51,50,76,30,0,10,7
496311364,180,35,23,61,23,0,19,6
146789379,134,53,31,31,92,0,28,3
843309044,95,92,31,89,3,0,8,25
500340342,184,69,91,63,11,0,9,31
107255472,147,47,50,80,10,0,32,38
135079152,123,52,44,60,40,0,26,3
822239726,123,91,49,61,3,0,17,22
1202722675,90,90,79,71,26,0,7,37
343197054,160,61,65,64,1,0,12,4
240769997,115,60,37,71,8,0,48,4
426204830,141,37,17,67,2,0,34,9
421135627,160,31,30,88,7,0,8,8
554875730,145,57,23,66,4,6,15,4
467727006,89,46,43,43,23,8,8,22
327498031,95,84,49,72,8,0,15,8
185408548,160,60,47,62,3,0,38,4
245400167,174,67,74,75,44,0,7,30
579395142,92,77,76,84,3,0,38,4
675039469,134,93,61,74,9,0,17,8
252871192,172,31,4,86,1,0,28,17
231996128,80,76,92,62,6,0,8,13
1929770265,150,91,42,60,0,0,9,12
918915401,80,78,53,74,4,0,45,21
1180896317,166,81,83,75,14,0,29,34
498960285,120,67,8,54,27,0,8,4
685071800,92,86,89,79,17,0,11,6
258714692,85,74,61,52,30,0,26,9
143139338,154,79,86,52,66,0,9,7
209768491,92,73,37,74,28,0,14,6
64714573,140,89,75,70,6,0,13,5
50746620,89,65,60,60,11,0,10,40
154119539,135,89,89,86,16,0,8,5
